Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),difficulty
2,1 1 11 11,4.41,99.6,4.68,1.45,easy
18,1 1 12 12,5.03,99.4,5.4,1.66,easy
5,6 6 6 6,4.59,99.4,4.82,1.49,easy
25,1 1 13 13,5.16,99.3,5.45,1.66,easy
37,12 12 12 12,5.25,99.3,5.73,2.14,easy
41,1 1 11 12,5.27,99.3,5.67,1.8,easy
7,1 2 2 6,4.8,99.2,5.16,1.61,easy
10,1 1 1 12,4.86,99.2,5.18,1.63,easy
3,1 1 3 8,4.45,99.2,4.69,1.48,easy
1,1 1 4 6,4.4,99.2,4.67,1.48,easy
16,2 2 2 12,5.02,99.1,5.37,1.7,easy
33,1 1 11 13,5.23,99.1,5.66,1.85,easy
6,1 1 2 12,4.63,99.1,4.95,1.57,easy
51,1 1 5 5,5.35,99.1,5.71,1.8,easy
22,1 2 3 4,5.1,99.0,5.46,1.85,easy
78,2 2 4 6,5.54,99.0,5.92,1.9,easy
114,2 2 2 3,5.72,99.0,5.98,1.72,easy
8,1 1 10 12,4.81,99.0,5.06,1.54,easy
21,1 1 2 11,5.09,98.9,5.41,1.7,easy
14,4 6 11 11,5.0,98.9,5.38,1.73,easy
4,1 1 1 8,4.48,98.8,4.66,1.25,easy
52,3 3 12 12,5.36,98.7,5.83,2.03,easy
23,11 11 12 12,5.1,98.7,5.5,1.87,easy
34,1 6 6 12,5.24,98.7,5.57,1.72,easy
42,2 7 7 12,5.29,98.7,5.65,1.89,easy
104,2 2 12 12,5.68,98.7,6.21,2.26,easy
31,1 1 2 13,5.19,98.7,5.49,1.78,easy
60,1 1 12 13,5.42,98.7,5.8,1.84,easy
62,5 5 12 12,5.42,98.7,5.78,1.75,easy
68,2 5 5 12,5.46,98.7,5.87,1.99,easy
36,4 6 13 13,5.24,98.7,5.63,1.79,easy
30,4 6 7 7,5.18,98.6,5.53,1.83,easy
29,7 7 12 12,5.17,98.6,5.58,1.89,easy
59,12 12 13 13,5.4,98.6,5.79,1.91,easy
64,2 3 3 12,5.44,98.6,5.91,2.04,easy
74,4 4 12 12,5.51,98.6,5.93,2.05,easy
44,10 10 12 12,5.31,98.6,5.74,1.91,easy
79,1 6 7 12,5.56,98.5,5.97,1.97,easy
75,1 3 4 12,5.52,98.5,5.95,1.97,easy
55,8 8 12 12,5.38,98.5,5.8,1.95,easy
171,1 6 7 10,5.98,98.5,6.53,2.26,easy
126,1 5 6 12,5.79,98.5,6.17,2.07,easy
179,1 5 7 11,6.03,98.5,6.48,2.14,easy
20,1 1 2 6,5.09,98.4,5.4,1.61,easy
69,11 11 11 13,5.48,98.4,6.03,2.26,easy
210,1 2 3 10,6.16,98.4,6.47,2.0,easy
251,2 12 12 12,6.36,98.4,6.75,2.46,easy
121,6 6 12 12,5.75,98.4,6.31,2.35,easy
139,2 4 4 12,5.88,98.4,6.24,2.14,easy
50,9 9 12 12,5.34,98.3,5.84,2.11,easy
43,1 5 7 12,5.3,98.3,5.87,2.12,easy
222,2 2 4 5,6.21,98.3,6.6,2.11,easy
99,4 6 6 6,5.65,98.3,6.02,2.07,easy
87,1 4 7 12,5.59,98.3,5.99,2.02,easy
65,3 4 4 8,5.44,98.3,5.85,1.94,easy
111,1 6 6 11,5.71,98.2,6.18,2.24,easy
9,2 2 10 10,4.85,98.2,5.13,1.63,easy
186,1 6 8 9,6.05,98.2,6.5,2.36,easy
12,1 1 4 8,4.99,98.1,5.35,1.83,easy
177,1 5 8 12,6.02,98.1,6.51,2.23,easy
46,2 2 3 8,5.33,98.1,5.72,1.93,easy
39,4 4 4 6,5.26,98.1,5.61,1.94,easy
189,1 1 3 4,6.08,98.0,6.4,2.03,easy
124,2 2 3 12,5.76,98.0,6.17,2.02,easy
182,2 2 11 13,6.04,98.0,6.59,2.43,easy
316,2 2 8 12,6.61,98.0,7.06,2.29,easy
19,3 3 3 8,5.04,98.0,5.4,1.8,easy
98,1 1 10 13,5.65,97.9,6.09,2.2,easy
295,5 6 6 7,6.54,97.9,7.06,2.44,easy
212,1 5 7 13,6.16,97.9,6.53,2.09,easy
73,1 4 10 10,5.5,97.9,5.91,2.1,easy
96,4 4 11 13,5.64,97.9,6.25,2.36,easy
259,3 6 7 8,6.39,97.8,6.79,2.31,easy
