,Puzzles,layer
0,4 7 10 11,0.0
1,1 5 5 12,0.0
2,1 6 7 11,0.0
3,11 11 11 13,0.0
4,1 2 5 7,0.0
5,1 3 10 11,0.0
6,1 8 8 12,0.0
7,1 9 10 12,0.0
8,1 4 7 12,0.0
9,8 8 9 11,0.0
10,1 7 8 11,0.0
11,3 6 10 11,0.0
12,10 11 11 13,0.0
13,4 5 11 12,0.0
14,1 2 2 11,0.0
15,2 3 11 13,0.0
16,4 8 11 11,0.0
17,5 5 5 6,0.0
18,4 6 12 12,0.0
19,10 13 13 13,0.0
20,1 6 8 8,0.0
21,1 6 12 12,0.0
22,6 8 10 12,0.0
23,6 8 11 11,0.0
24,1 5 7 12,0.0
25,3 3 3 3,0.0
26,1 3 4 4,0.0
27,1 2 2 6,0.0
28,4 5 11 11,0.0
29,2 6 7 13,0.0
30,5 5 7 7,0.0
31,4 6 9 9,0.0
32,12 12 13 13,0.0
33,1 3 5 13,0.0
34,1 1 13 13,0.0
35,4 8 11 12,0.0
36,5 7 10 12,0.0
37,1 2 3 10,0.0
38,3 6 11 11,0.0
39,5 5 6 6,0.0
40,6 7 11 12,0.0
41,1 12 12 12,0.0
42,3 3 12 12,0.0
43,4 6 11 12,0.0
44,2 7 8 12,0.0
45,10 10 10 13,0.0
46,1 7 10 12,0.0
47,8 9 12 12,0.0
48,1 6 7 12,0.0
49,2 2 11 13,0.0
50,1 3 3 4,0.0
51,2 11 11 11,0.0
52,4 6 10 10,0.0
53,1 1 4 7,0.0
54,1 3 9 11,0.0
55,1 7 8 8,0.0
56,3 7 13 13,0.0
57,1 6 6 11,0.0
58,2 5 5 8,0.0
59,1 1 11 13,0.0
60,1 7 8 12,0.0
61,9 12 12 12,0.0
62,4 7 12 12,0.0
63,1 7 7 11,0.0
64,1 4 8 13,0.0
65,2 5 5 13,0.0
66,11 11 12 12,0.0
67,1 2 2 13,0.0
68,3 5 5 8,0.0
69,7 9 11 11,0.0
70,4 6 6 6,0.0
71,2 2 3 8,0.0
72,1 7 7 12,0.0
73,3 8 10 10,0.0
74,1 3 9 12,0.0
75,2 3 3 12,0.0
76,1 2 7 10,0.0
77,1 4 7 13,0.0
78,1 1 3 8,0.0
79,3 8 11 12,0.0
80,2 6 6 8,0.0
81,1 3 7 13,0.0
82,4 6 13 13,0.0
83,6 6 6 11,0.0
84,3 7 9 9,0.0
85,2 2 4 6,0.0
86,1 1 11 12,0.0
87,1 2 5 6,0.0
88,4 4 10 13,0.0
89,2 6 7 12,0.0
90,2 8 9 12,0.0
91,6 6 11 12,0.0
92,6 8 8 8,0.0
93,1 10 10 12,0.0
94,1 8 8 8,0.0
95,7 9 13 13,0.0
96,5 5 10 13,0.0
97,3 3 12 13,0.0
98,3 6 6 8,0.0
99,3 3 4 4,0.0
100,3 5 6 9,1.0
101,2 4 4 13,1.0
102,1 2 7 9,1.0
103,3 5 10 12,1.0
104,5 9 9 11,1.0
105,2 2 4 11,1.0
106,4 5 5 9,1.0
107,5 5 5 9,1.0
108,1 4 9 11,1.0
109,3 9 10 10,1.0
110,4 4 8 13,1.0
111,5 6 10 11,1.0
112,4 9 11 12,1.0
113,3 5 6 8,1.0
114,2 5 8 13,1.0
115,6 8 11 13,1.0
116,2 11 12 13,1.0
117,3 11 12 12,1.0
118,5 8 9 12,1.0
119,5 8 8 9,1.0
120,1 7 9 10,1.0
121,4 5 8 9,1.0
122,3 4 7 9,1.0
123,2 8 11 12,1.0
124,4 8 8 12,1.0
125,4 4 10 12,1.0
126,5 6 10 10,1.0
127,1 2 3 7,1.0
128,4 4 6 13,1.0
129,4 10 12 12,1.0
130,2 2 6 12,1.0
131,6 6 6 8,1.0
132,2 3 5 6,1.0
133,3 7 10 13,1.0
134,2 4 10 12,1.0
135,3 6 9 11,1.0
136,7 8 10 13,1.0
137,2 3 5 11,1.0
138,3 3 8 9,1.0
139,5 5 9 10,1.0
140,2 3 6 10,1.0
141,1 4 6 7,1.0
142,1 4 8 11,1.0
143,3 9 9 10,1.0
144,3 10 11 12,1.0
145,6 7 9 12,1.0
146,6 8 10 13,1.0
147,2 2 4 13,1.0
148,1 1 6 8,1.0
149,1 2 5 13,1.0
150,2 2 3 3,1.0
151,2 6 6 13,1.0
152,3 5 9 13,1.0
153,3 6 10 12,1.0
154,9 10 11 13,1.0
155,2 3 5 9,1.0
156,5 11 12 12,1.0
157,1 5 9 9,1.0
158,3 5 5 9,1.0
159,3 3 9 9,1.0
160,6 6 12 13,1.0
161,5 8 12 12,1.0
162,3 7 8 13,1.0
163,3 4 10 12,1.0
164,2 4 9 13,1.0
165,4 4 6 11,1.0
166,4 5 7 8,1.0
167,1 2 5 10,1.0
168,8 10 13 13,1.0
169,4 8 10 11,1.0
170,2 4 4 4,1.0
171,3 5 13 13,1.0
172,6 7 8 9,1.0
173,2 3 6 11,1.0
174,4 5 10 13,1.0
175,2 2 4 7,1.0
176,1 1 4 10,1.0
177,5 6 11 13,1.0
178,2 3 3 6,1.0
179,1 8 11 13,1.0
180,2 8 9 13,1.0
181,4 8 8 9,1.0
182,4 4 8 8,1.0
183,6 6 7 10,1.0
184,2 5 8 11,1.0
185,2 6 6 6,1.0
186,1 3 8 12,1.0
187,3 5 5 12,1.0
188,4 5 7 11,1.0
189,3 9 13 13,1.0
190,3 8 8 11,1.0
191,3 3 3 9,1.0
192,4 7 10 10,1.0
193,3 3 6 13,1.0
194,3 3 4 5,1.0
195,6 8 12 12,1.0
196,5 5 8 8,1.0
197,4 4 8 11,1.0
198,5 9 10 10,1.0
199,1 6 11 12,1.0
200,1 5 6 11,2.0
201,3 5 8 12,2.0
202,2 5 8 10,2.0
203,4 5 6 8,2.0
204,2 3 10 10,2.0
205,4 4 9 12,2.0
206,6 8 11 12,2.0
207,2 4 5 5,2.0
208,5 8 11 12,2.0
209,5 8 9 13,2.0
210,2 4 7 7,2.0
211,1 3 3 8,2.0
212,3 4 4 4,2.0
213,2 5 7 13,2.0
214,1 3 6 10,2.0
215,1 7 13 13,2.0
216,3 9 9 11,2.0
217,2 2 2 9,2.0
218,2 7 12 13,2.0
219,2 5 8 12,2.0
220,2 2 7 10,2.0
221,3 4 5 13,2.0
222,1 2 2 9,2.0
223,6 8 8 9,2.0
224,1 2 6 10,2.0
225,4 5 8 10,2.0
226,4 4 7 13,2.0
227,2 4 5 6,2.0
228,3 6 6 11,2.0
229,1 4 4 6,2.0
230,1 6 6 6,2.0
231,4 5 6 13,2.0
232,1 2 7 11,2.0
233,1 5 9 12,2.0
234,2 3 6 6,2.0
235,2 5 7 9,2.0
236,6 11 12 13,2.0
237,2 4 9 12,2.0
238,9 9 9 12,2.0
239,3 8 10 12,2.0
240,3 3 8 10,2.0
241,2 3 7 9,2.0
242,2 3 4 9,2.0
243,4 7 9 11,2.0
244,5 6 9 13,2.0
245,2 2 6 9,2.0
246,7 9 11 12,2.0
247,3 4 4 10,2.0
248,4 4 6 10,2.0
249,1 3 5 6,2.0
250,2 5 7 7,2.0
251,6 11 12 12,2.0
252,4 5 8 13,2.0
253,2 3 3 3,2.0
254,6 6 9 10,2.0
255,4 7 10 12,2.0
256,3 3 7 13,2.0
257,2 3 4 7,2.0
258,3 8 8 10,2.0
259,1 3 5 9,2.0
260,2 2 2 7,2.0
261,2 3 5 12,2.0
262,7 8 8 13,2.0
263,6 7 9 9,2.0
264,6 7 8 11,2.0
265,3 5 8 13,2.0
266,3 4 6 11,2.0
267,8 8 10 12,2.0
268,4 6 8 13,2.0
269,3 3 6 8,2.0
270,6 9 9 12,2.0
271,1 3 7 10,2.0
272,6 9 9 10,2.0
273,6 7 7 10,2.0
274,2 5 11 12,2.0
275,3 7 9 11,2.0
276,5 10 10 13,2.0
277,7 8 10 10,2.0
278,1 2 8 13,2.0
279,4 7 8 10,2.0
280,4 8 9 12,2.0
281,7 7 8 11,2.0
282,1 4 8 9,2.0
283,4 8 8 11,2.0
284,4 4 10 10,2.0
285,1 3 8 13,2.0
286,4 4 8 12,2.0
287,2 4 5 10,2.0
288,6 6 7 11,2.0
289,4 6 7 9,2.0
290,6 10 10 13,2.0
291,3 3 8 8,2.0
292,4 8 8 13,2.0
293,1 2 9 11,2.0
294,2 4 6 11,2.0
295,2 5 9 10,2.0
296,5 7 10 11,2.0
297,2 2 3 10,2.0
298,1 4 5 9,2.0
299,10 12 12 12,2.0
300,6 5 5 12,
301,7 7 10 10,
302,10 13 2 7,
303,5 8 12 13,
304,9 1 8 10,
305,3 12 12 10,
306,7 6 13 4,
307,10 9 4 10,
308,13 13 6 10,
309,9 11 7 6,
310,11 11 1 6,
311,8 7 13 1,
312,13 12 13 5,
313,12 13 4 2,
314,7 13 2 1,
315,10 12 11 8,
316,10 9 12 9,
